DOH_Reg_Office,Fac_County,Fac_ID,Fac_Type,Fac_Name,Week_End_Report_Date,Week_End_Report_Count,Confirmed_In_Facility,Confirmed_Out_Of_Facility,Presumed_In_Facility
Metropolitan Area Regional Office - New York City,RICHMOND,001755,NH,CARMEL RICHMOND HEALTHCARE AND REHABILITATION CENTER,02/23/2021,1,1,0,0
Capital District Regional Office,WASHINGTON,004217,NH,SLATE VALLEY CENTER FOR REHABILITATION AND NURSING,02/23/2021,1,0,2,0
Capital District Regional Office,WASHINGTON,001026,NH,WASHINGTON CENTER FOR REHABILITATION AND HEALTHCARE,02/23/2021,1,0,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-E-054,OACF,MISSIONARY SISTERS OF ST. BENEDICT,02/23/2021,1,1,0,0
Metropolitan Area Regional Office - New Rochelle,ROCKLAND,620-F-093,OACF,GARNERVILLE HOME,02/23/2021,1,0,1,0
Western Regional Office - Rochester,SCHUYLER,670-F-006,OACF,THE NEW FALLS,02/23/2021,1,0,1,0
Metropolitan Area Regional Office - New York City,QUEENS,590-F-301,OACF,WAVECREST HOME FOR ADULTS,02/23/2021,1,0,1,0
Western Regional Office - Buffalo,NIAGARA,500-F-105,OACF,MOUNT VIEW ASSISTED LIVING,02/23/2021,1,0,1,0
Metropolitan Area Regional Office - Long Island,NASSAU,400-F-306,OACF,ATRIA TANGLEWOOD,02/23/2021,1,0,1,0
Metropolitan Area Regional Office - Long Island,NASSAU,400-S-304,OACF,THE BRISTAL AT NORTH WOODMERE,02/23/2021,1,1,0,0
Central New York Regional Office,ONEIDA,510-F-055,OACF,ADIRONDACK MANOR HFA D.B.A. WILLOW PARK HFA,02/23/2021,1,0,1,0
Central New York Regional Office,ONEIDA,510-S-061,OACF,FOCUS SENIOR LIVING AT UTICA,02/23/2021,1,0,1,0
Western Regional Office - Rochester,MONROE,370-S-841,AL,SEABURY WOODS,03/02/2021,1,0,1,0
Western Regional Office - Buffalo,ERIE,240-F-868,AL,MARY AGNES MANOR ALP,03/02/2021,1,0,1,0
Western Regional Office - Rochester,MONROE,000481,NH,CREST MANOR LIVING AND REHABILITATION CENTER,03/02/2021,1,1,0,0
Western Regional Office - Rochester,MONROE,003164,NH,KIRKHAVEN,03/02/2021,1,1,0,0
Western Regional Office - Rochester,MONROE,000473,NH,LATTA ROAD NURSING HOME WEST,03/02/2021,1,0,1,0
Western Regional Office - Rochester,MONROE,000437,NH,"THE SHORE WINDS, LLC",03/02/2021,1,1,0,0
Western Regional Office - Buffalo,ERIE,000294,NH,GARDEN GATE HEALTH CARE FACILITY,03/02/2021,2,2,0,0
Western Regional Office - Buffalo,ERIE,003455,NH,"HARRIS HILL NURSING FACILITY, LLC",03/02/2021,3,3,0,0
Metropolitan Area Regional Office - New York City,KINGS,001401,NH,SEA CREST NURSING AND REHABILITATION CENTER,03/02/2021,5,4,3,0
Metropolitan Area Regional Office - New York City,KINGS,001369,NH,"NY CONGREGATIONAL NURSING CENTER, INC",03/02/2021,1,1,0,0
Central New York Regional Office,JEFFERSON,000381,NH,CARTHAGE CENTER FOR REHABILITAITON AND NURSING,03/02/2021,1,0,1,0
Central New York Regional Office,HERKIMER,000364,NH,ALPINE REHABILITATION AND NURSING CENTER,03/02/2021,1,0,1,0
Capital District Regional Office,FULTON,000335,NH,WELLS NURSING HOME INC,03/02/2021,1,0,1,0
Western Regional Office - Rochester,CHEMUNG,000124,NH,ELCOR NURSING AND REHABILITATION CENTER,03/02/2021,1,0,1,0
Metropolitan Area Regional Office - New York City,BRONX,001225,NH,THE PLAZA REHAB AND NURSING CENTER,03/02/2021,2,2,0,0
Western Regional Office - Buffalo,CHAUTAUQUA,000099,NH,CHAUTAUQUA NURSING AND REHABILITATION CENTER,03/02/2021,1,0,1,0
Metropolitan Area Regional Office - New York City,BRONX,001212,NH,HEBREW HOME FOR THE AGED AT RIVERDALE,03/02/2021,1,1,0,0
Metropolitan Area Regional Office - New York City,BRONX,001221,NH,METHODIST HOME FOR NURSING AND REHABILITATION,03/02/2021,1,1,0,0
Capital District Regional Office,MONTGOMERY,000488,NH,CAPSTONE CENTER FOR REHABILITATION AND NURSING,03/02/2021,1,0,1,0
Metropolitan Area Regional Office - New York City,QUEENS,001709,NH,CYPRESS GARDEN CENTER FOR NURSING AND REHABILITATION,03/02/2021,1,0,1,0
Metropolitan Area Regional Office - New York City,QUEENS,007745,NH,"ELMHURST CARE CENTER, INC",03/02/2021,1,0,1,0
Western Regional Office - Buffalo,NIAGARA,000586,NH,NEWFANE REHAB & HEALTH CARE CENTER,03/02/2021,1,0,1,0
Metropolitan Area Regional Office - New York City,NEW YORK,001605,NH,AMSTERDAM NURSING HOME CORP (1992),03/02/2021,1,1,0,0
Metropolitan Area Regional Office - New York City,NEW YORK,001604,NH,HARLEM CENTER FOR NURSING AND REHABILITATION,03/02/2021,1,0,1,0
Metropolitan Area Regional Office - New York City,NEW YORK,001603,NH,"THE NEW JEWISH HOME, MANHATTAN",03/02/2021,1,1,0,0
Western Regional Office - Buffalo,ORLEANS,000721,NH,ORCHARD REHABILITATION & NURSING CENTER,03/02/2021,1,1,0,0
Metropolitan Area Regional Office - Long Island,NASSAU,000520,NH,LYNBROOK RESTORATIVE THERAPY AND NURSING,03/02/2021,1,1,0,0
Metropolitan Area Regional Office - Long Island,NASSAU,006009,NH,"MEADOWBROOK CARE CENTER, INC",03/02/2021,3,1,5,0
Metropolitan Area Regional Office - Long Island,NASSAU,000498,NH,LONG BEACH NURSING AND REHABILITATION CENTER,03/02/2021,1,0,1,0
Central New York Regional Office,ONONDAGA,003243,NH,ELDERWOOD AT LIVERPOOL,03/02/2021,1,1,0,0
Central New York Regional Office,ONONDAGA,000648,NH,LORETTO HEALTH AND REHABILITATION CENTER,03/02/2021,2,3,0,0
Central New York Regional Office,ONEIDA,000604,NH,KATHERINE LUTHER RESIDENTIAL HEALTH CARE AND REHABILITATION CENTER,03/02/2021,1,0,1,0
Central New York Regional Office,ONEIDA,005790,NH,ONEIDA CENTER FOR REHABILITATION AND NURSING,03/02/2021,1,0,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,000920,NH,CARILLON NURSING AND REHABILITATION CENTER,03/02/2021,1,1,0,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,003989,NH,GURWIN JEWISH NURSING AND REHABILITATION CENTER,03/02/2021,2,0,2,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,000953,NH,LUXOR NURSING AND REHABILITATION AT MILLS POND,03/02/2021,1,0,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,000881,NH,MASSAPEQUA CENTER REHABILITATION & NURSING,03/02/2021,2,0,2,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,006462,NH,MEDFORD MULTICARE CENTER FOR LIVING,03/02/2021,1,0,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,003433,NH,SMITHTOWN CENTER FOR REHABILITATION & NURSING CARE,03/02/2021,1,1,0,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,003422,NH,ST CATHERINE OF SIENA NURSING AND REHABILITATION CARE CENTER,03/02/2021,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,002575,NH,DUMONT CENTER FOR REHABILITATION AND NURSING CARE,03/02/2021,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,001094,NH,THE ENCLAVE AT RYE REHABILITATION AND NURSING CENTER,03/02/2021,1,0,1,0
Central New York Regional Office,SAINT LAWRENCE,000806,NH,MASSENA REHABILITATION & NURSING CENTER,03/02/2021,1,0,1,0
Metropolitan Area Regional Office - New York City,RICHMOND,001748,NH,EGER HEALTH CARE AND REHABILITATION CENTER,03/02/2021,1,0,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-F-945,OACF,AMBER COURT OF SMITHTOWN,03/02/2021,1,0,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-F-109,OACF,RODDEN HOME,03/02/2021,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,800-S-123,OACF,MAPLE HOUSE,03/02/2021,1,0,1,0
Metropolitan Area Regional Office - Long Island,NASSAU,400-F-320,OACF,THE GLEN AT MAPLE POINTE,03/02/2021,1,1,0,0
Western Regional Office - Buffalo,ERIE,240-F-868,AL,MARY AGNES MANOR ALP,03/09/2021,2,0,2,0
Western Regional Office - Buffalo,ERIE,240-F-881,AL,HEATHWOOD ASSISTED LIVING AT WILLIAMSVILLE,03/09/2021,1,0,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-S-311,AL,THE BRISTAL AT LAKE GROVE,03/09/2021,1,0,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,000920,NH,CARILLON NURSING AND REHABILITATION CENTER,03/09/2021,1,0,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,000953,NH,LUXOR NURSING AND REHABILITATION AT MILLS POND,03/09/2021,1,0,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,006462,NH,MEDFORD MULTICARE CENTER FOR LIVING,03/09/2021,1,0,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,003433,NH,SMITHTOWN CENTER FOR REHABILITATION & NURSING CARE,03/09/2021,1,0,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,000888,NH,SUFFOLK CENTER FOR REHABILITATION AND NURSING,03/09/2021,1,0,1,0
Capital District Regional Office,SARATOGA,000822,NH,WESLEY HEALTH CARE CENTER INC,03/09/2021,2,2,0,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,010353,NH,EPIC REHABILITATION AND NURSING AT WHITE PLAINS,03/09/2021,1,1,0,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,003765,NH,SALEM HILLS REHABILITATION AND NURSING CENTER,03/09/2021,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,001125,NH,ST CABRINI NURSING HOME,03/09/2021,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,ULSTER,000998,NH,GOLDEN HILL NURSING AND REHABILITATION CENTER,03/09/2021,1,0,1,0
Western Regional Office - Buffalo,ERIE,000282,NH,FIDDLERS GREEN MANOR REHABILITATION AND NURSING CENTER,03/09/2021,1,0,1,0
Western Regional Office - Buffalo,ERIE,004898,NH,FATHER BAKER MANOR,03/09/2021,1,1,0,0
Western Regional Office - Buffalo,ERIE,000294,NH,GARDEN GATE HEALTH CARE FACILITY,03/09/2021,1,1,0,0
Western Regional Office - Buffalo,ERIE,003455,NH,"HARRIS HILL NURSING FACILITY, LLC",03/09/2021,2,2,0,0
Metropolitan Area Regional Office - New York City,KINGS,004285,NH,HAMILTON PARK NURSING AND REHABILITATION CENTER,03/09/2021,1,1,0,0
Metropolitan Area Regional Office - New York City,KINGS,001398,NH,SHEEPSHEAD NURSING & REHABILITATION CENTER,03/09/2021,1,0,1,0
Metropolitan Area Regional Office - New York City,KINGS,001405,NH,THE PHOENIX REHABILITATION AND NURSING CENTER,03/09/2021,2,1,1,0
Western Regional Office - Rochester,MONROE,000481,NH,CREST MANOR LIVING AND REHABILITATION CENTER,03/09/2021,1,1,0,0
Metropolitan Area Regional Office - New York City,KINGS,001403,NH,BORO PARK CENTER FOR REHABILITATION AND HEALTHCARE,03/09/2021,1,1,0,0
Metropolitan Area Regional Office - New York City,KINGS,001401,NH,SEA CREST NURSING AND REHABILITATION CENTER,03/09/2021,3,1,3,0
Capital District Regional Office,CLINTON,000139,NH,PLATTSBURGH REHABILITATION AND NURSING CENTER,03/09/2021,1,1,0,0
Western Regional Office - Buffalo,CHAUTAUQUA,000099,NH,CHAUTAUQUA NURSING AND REHABILITATION CENTER,03/09/2021,1,1,0,0
Western Regional Office - Buffalo,CHAUTAUQUA,002574,NH,HERITAGE GREEN REHAB & SKILLED NURSING,03/09/2021,1,1,0,0
Western Regional Office - Buffalo,CHAUTAUQUA,000106,NH,HERITAGE PARK REHAB & SKILLED NURSING,03/09/2021,1,1,0,0
Metropolitan Area Regional Office - New York City,BRONX,001212,NH,HEBREW HOME FOR THE AGED AT RIVERDALE,03/09/2021,2,0,2,0
Western Regional Office - Buffalo,CHAUTAUQUA,000112,NH,"HERITAGE VILLAGE REHAB AND SKILLED NURSING, INC.",03/09/2021,2,2,0,0
Metropolitan Area Regional Office - New York City,BRONX,004814,NH,THROGS NECK REHABILITATION & NURSING CENTER,03/09/2021,1,1,0,0
Metropolitan Area Regional Office - New York City,QUEENS,003401,NH,BEACH GARDENS REHAB AND NURSING CENTER,03/09/2021,4,4,0,0
Metropolitan Area Regional Office - New York City,QUEENS,006384,NH,NEW YORK CENTER FOR REHABILITATION & NURSING,03/09/2021,1,0,1,0
Metropolitan Area Regional Office - New York City,QUEENS,001670,NH,OZANAM HALL OF QUEENS NURSING HOME INC,03/09/2021,1,0,1,0
Metropolitan Area Regional Office - New York City,QUEENS,004407,NH,SILVERCREST,03/09/2021,1,0,1,0
Western Regional Office - Buffalo,NIAGARA,000579,NH,SCHOELLKOPF HEALTH CENTER,03/09/2021,1,0,1,0
Metropolitan Area Regional Office - New York City,NEW YORK,001370,NH,THE RIVERSIDE,03/09/2021,2,1,1,0
Metropolitan Area Regional Office - New York City,NEW YORK,001606,NH,NEW GOUVERNEUR HOSPITAL SNF,03/09/2021,1,1,0,0
Metropolitan Area Regional Office - Long Island,NASSAU,004066,NH,NORTH SHORE-LIJ ORZAC CENTER FOR REHABILITATION,03/09/2021,2,2,2,0
Central New York Regional Office,ONONDAGA,000648,NH,LORETTO HEALTH AND REHABILITATION CENTER,03/09/2021,1,1,0,0
Central New York Regional Office,ONEIDA,510-F-055,OACF,ADIRONDACK MANOR HFA D.B.A. WILLOW PARK HFA,03/09/2021,1,0,1,0
Western Regional Office - Buffalo,CHAUTAUQUA,060-E-014,OACF,THE WOMEN'S CHRISTIAN ASSOCIATION,03/09/2021,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,800-F-996,OACF,ATRIA BRIARCLIFF MANOR,03/09/2021,1,0,1,0
Western Regional Office - Buffalo,ERIE,240-F-868,AL,MARY AGNES MANOR ALP,03/16/2021,1,0,1,0
Western Regional Office - Buffalo,ERIE,000296,NH,BROTHERS OF MERCY NURSING & REHABILITATION CENTER,03/16/2021,2,1,1,0
Metropolitan Area Regional Office - New York City,KINGS,001401,NH,SEA CREST NURSING AND REHABILITATION CENTER,03/16/2021,1,1,0,0
Metropolitan Area Regional Office - New York City,KINGS,002539,NH,MENORAH HOME & HOSPITAL FOR AGED & INFIRM,03/16/2021,1,0,1,0
Capital District Regional Office,GREENE,000349,NH,THE PINES AT CATSKILL CENTER FOR NURSING & REHABILITATION,03/16/2021,1,1,0,0
Metropolitan Area Regional Office - New York City,BRONX,001212,NH,HEBREW HOME FOR THE AGED AT RIVERDALE,03/16/2021,1,1,0,0
Metropolitan Area Regional Office - New York City,QUEENS,001710,NH,JAMAICA HOSPITAL NURSING HOME CO INC,03/16/2021,1,0,1,0
Metropolitan Area Regional Office - New York City,QUEENS,003401,NH,BEACH GARDENS REHAB AND NURSING CENTER,03/16/2021,2,2,0,0
Metropolitan Area Regional Office - New York City,QUEENS,006384,NH,NEW YORK CENTER FOR REHABILITATION & NURSING,03/16/2021,1,0,1,0
Metropolitan Area Regional Office - New York City,NEW YORK,005907,NH,NORTHERN MANHATTAN REHABILITATION AND NURSING CENTER,03/16/2021,1,0,1,0
Metropolitan Area Regional Office - Long Island,NASSAU,004066,NH,NORTH SHORE-LIJ ORZAC CENTER FOR REHABILITATION,03/16/2021,2,0,4,0
Metropolitan Area Regional Office - Long Island,NASSAU,000498,NH,LONG BEACH NURSING AND REHABILITATION CENTER,03/16/2021,1,0,1,0
Metropolitan Area Regional Office - Long Island,NASSAU,004089,NH,NORTHWELL HEALTH STERN FAMILY CENTER FOR REHABILITATION,03/16/2021,1,1,0,0
Central New York Regional Office,ONONDAGA,000648,NH,LORETTO HEALTH AND REHABILITATION CENTER,03/16/2021,2,2,0,0
Central New York Regional Office,ONEIDA,000604,NH,KATHERINE LUTHER RESIDENTIAL HEALTH CARE AND REHABILITATION CENTER,03/16/2021,1,1,0,0
Central New York Regional Office,TOMPKINS,000984,NH,CAYUGA NURSING AND REHABILITATION CENTER,03/16/2021,1,4,0,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,000941,NH,ACADIA CENTER FOR NURSING AND REHABILITATION,03/16/2021,1,1,0,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,000920,NH,CARILLON NURSING AND REHABILITATION CENTER,03/16/2021,3,2,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,003989,NH,GURWIN JEWISH NURSING AND REHABILITATION CENTER,03/16/2021,1,0,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,006462,NH,MEDFORD MULTICARE CENTER FOR LIVING,03/16/2021,1,0,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,000909,NH,SURGE REHABILITATION AND NURSING LLC,03/16/2021,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,003765,NH,SALEM HILLS REHABILITATION AND NURSING CENTER,03/16/2021,1,0,1,0
Central New York Regional Office,SAINT LAWRENCE,000806,NH,MASSENA REHABILITATION & NURSING CENTER,03/16/2021,1,1,0,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-F-931,OACF,ATRIA HUNTINGTON,03/16/2021,1,0,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-F-908,OACF,"BAYVIEW REST HOME, LLC",03/16/2021,1,0,1,0
Capital District Regional Office,SCHOHARIE,660-F-051,OACF,MARCHAND MANOR,03/16/2021,1,0,1,0
Metropolitan Area Regional Office - Long Island,NASSAU,400-F-329,OACF,ATRIA PLAINVIEW,03/16/2021,1,0,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-S-313,AL,THE BRISTAL AT WEST BABYLON,03/23/2021,1,0,1,0
Central New York Regional Office,TOMPKINS,000984,NH,CAYUGA NURSING AND REHABILITATION CENTER,03/23/2021,1,1,0,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,000941,NH,ACADIA CENTER FOR NURSING AND REHABILITATION,03/23/2021,1,1,0,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,003928,NH,"BROOKHAVEN HEALTH CARE FACILITY, LLC",03/23/2021,1,0,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,000920,NH,CARILLON NURSING AND REHABILITATION CENTER,03/23/2021,2,1,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,000953,NH,LUXOR NURSING AND REHABILITATION AT MILLS POND,03/23/2021,1,0,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,003826,NH,PECONIC BAY SKILLED NURSING FACILITY,03/23/2021,1,1,0,0
Capital District Regional Office,SARATOGA,000822,NH,WESLEY HEALTH CARE CENTER INC,03/23/2021,1,1,0,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,003765,NH,SALEM HILLS REHABILITATION AND NURSING CENTER,03/23/2021,1,0,1,0
Metropolitan Area Regional Office - New York City,RICHMOND,001755,NH,CARMEL RICHMOND HEALTHCARE AND REHABILITATION CENTER,03/23/2021,1,0,2,0
Metropolitan Area Regional Office - New York City,RICHMOND,004823,NH,RICHMOND CENTER FOR REHABILITATION AND SPECIALTY HEALTHCARE,03/23/2021,1,0,1,0
Metropolitan Area Regional Office - Long Island,NASSAU,004066,NH,NORTH SHORE-LIJ ORZAC CENTER FOR REHABILITATION,03/23/2021,4,3,1,0
Metropolitan Area Regional Office - New York City,QUEENS,001705,NH,DRY HARBOR NURSING HOME,03/23/2021,1,0,1,0
Metropolitan Area Regional Office - New York City,QUEENS,007298,NH,THE PAVILION AT QUEENS FOR REHABILITATION & NURSING,03/23/2021,1,0,1,0
Metropolitan Area Regional Office - New York City,NEW YORK,001604,NH,HARLEM CENTER FOR NURSING AND REHABILITATION,03/23/2021,1,0,1,0
Metropolitan Area Regional Office - New York City,NEW YORK,001603,NH,"THE NEW JEWISH HOME, MANHATTAN",03/23/2021,2,2,0,0
Metropolitan Area Regional Office - New York City,NEW YORK,001370,NH,THE RIVERSIDE,03/23/2021,1,0,1,0
Metropolitan Area Regional Office - Long Island,NASSAU,000498,NH,LONG BEACH NURSING AND REHABILITATION CENTER,03/23/2021,1,0,1,0
Central New York Regional Office,ONEIDA,000608,NH,THE PINES AT UTICA CENTER FOR NURSING & REHABILITATION,03/23/2021,1,0,1,0
Western Regional Office - Buffalo,ERIE,004898,NH,FATHER BAKER MANOR,03/23/2021,1,1,0,0
Metropolitan Area Regional Office - New York City,BRONX,001212,NH,HEBREW HOME FOR THE AGED AT RIVERDALE,03/23/2021,2,3,0,0
Metropolitan Area Regional Office - New York City,BRONX,001224,NH,SCHERVIER NURSING CARE CENTER,03/23/2021,1,1,0,0
Metropolitan Area Regional Office - New York City,KINGS,001408,NH,DOWNTOWN BROOKLYN NURSING & REHABILITATION CENTER,03/23/2021,1,0,1,0
Metropolitan Area Regional Office - New York City,KINGS,001401,NH,SEA CREST NURSING AND REHABILITATION CENTER,03/23/2021,1,0,2,0
Metropolitan Area Regional Office - New York City,KINGS,001398,NH,SHEEPSHEAD NURSING & REHABILITATION CENTER,03/23/2021,1,0,1,0
Western Regional Office - Buffalo,ERIE,000296,NH,BROTHERS OF MERCY NURSING & REHABILITATION CENTER,03/23/2021,1,1,0,0
Metropolitan Area Regional Office - New York City,BRONX,001225,NH,THE PLAZA REHAB AND NURSING CENTER,03/23/2021,1,1,0,0
Western Regional Office - Buffalo,CHAUTAUQUA,002574,NH,HERITAGE GREEN REHAB & SKILLED NURSING,03/23/2021,1,1,0,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-F-302,AL,THE BRISTAL AT SAYVILLE,03/30/2021,1,0,1,0
Central New York Regional Office,TOMPKINS,000984,NH,CAYUGA NURSING AND REHABILITATION CENTER,03/30/2021,1,1,0,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,000949,NH,BROOKSIDE MULTICARE NURSING CENTER,03/30/2021,2,1,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,000953,NH,LUXOR NURSING AND REHABILITATION AT MILLS POND,03/30/2021,1,1,0,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,000935,NH,OUR LADY OF CONSOLATION NURSING AND REHABILITATIVE CARE CENTER,03/30/2021,1,1,0,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,003433,NH,SMITHTOWN CENTER FOR REHABILITATION & NURSING CARE,03/30/2021,1,1,0,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,001106,NH,SANS SOUCI REHABILITATION AND NURSING CENTER,03/30/2021,1,1,0,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,007605,NH,THE GROVE AT VALHALLA REHABILITATION AND NURSING CENTER,03/30/2021,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,ULSTER,000998,NH,GOLDEN HILL NURSING AND REHABILITATION CENTER,03/30/2021,1,0,1,0
Metropolitan Area Regional Office - New York City,BRONX,001212,NH,HEBREW HOME FOR THE AGED AT RIVERDALE,03/30/2021,2,2,0,0
Metropolitan Area Regional Office - New York City,KINGS,001403,NH,BORO PARK CENTER FOR REHABILITATION AND HEALTHCARE,03/30/2021,1,1,1,0
Metropolitan Area Regional Office - New York City,KINGS,007069,NH,BROOKLYN GARDENS NURSING & REHABILITATION CENTER,03/30/2021,1,1,0,0
Metropolitan Area Regional Office - New York City,KINGS,000277,NH,BROOKLYN-QUEENS NURSING HOME,03/30/2021,1,1,0,0
Metropolitan Area Regional Office - New York City,KINGS,001401,NH,SEA CREST NURSING AND REHABILITATION CENTER,03/30/2021,3,3,1,0
Metropolitan Area Regional Office - New York City,KINGS,001405,NH,THE PHOENIX REHABILITATION AND NURSING CENTER,03/30/2021,1,0,1,0
Capital District Regional Office,GREENE,000349,NH,THE PINES AT CATSKILL CENTER FOR NURSING & REHABILITATION,03/30/2021,1,0,1,0
Capital District Regional Office,MONTGOMERY,004107,NH,ST JOHNSVILLE REHABILITATION AND NURSING CENTER,03/30/2021,1,1,0,0
Metropolitan Area Regional Office - New York City,QUEENS,003401,NH,BEACH GARDENS REHAB AND NURSING CENTER,03/30/2021,2,2,0,0
Metropolitan Area Regional Office - New York City,QUEENS,001705,NH,DRY HARBOR NURSING HOME,03/30/2021,1,0,1,0
Metropolitan Area Regional Office - New York City,QUEENS,001672,NH,PENINSULA NURSING AND REHABILITATION CENTER,03/30/2021,1,0,1,0
Metropolitan Area Regional Office - New York City,NEW YORK,001606,NH,NEW GOUVERNEUR HOSPITAL SNF,03/30/2021,1,0,1,0
Metropolitan Area Regional Office - New York City,NEW YORK,001370,NH,THE RIVERSIDE,03/30/2021,1,1,0,0
Metropolitan Area Regional Office - New York City,NEW YORK,001603,NH,"THE NEW JEWISH HOME, MANHATTAN",03/30/2021,1,1,0,0
Metropolitan Area Regional Office - Long Island,NASSAU,000492,NH,EMERGE NURSING AND REHABILITATION AT GLEN COVE,03/30/2021,1,1,0,0
Metropolitan Area Regional Office - Long Island,NASSAU,006009,NH,"MEADOWBROOK CARE CENTER, INC",03/30/2021,1,1,0,0
Metropolitan Area Regional Office - Long Island,NASSAU,004066,NH,NORTH SHORE-LIJ ORZAC CENTER FOR REHABILITATION,03/30/2021,1,0,1,0
Metropolitan Area Regional Office - New York City,QUEENS,001710,NH,JAMAICA HOSPITAL NURSING HOME CO INC,04/06/2021,1,0,1,0
Metropolitan Area Regional Office - New York City,QUEENS,003401,NH,BEACH GARDENS REHAB AND NURSING CENTER,04/06/2021,2,3,0,0
Metropolitan Area Regional Office - New York City,NEW YORK,001370,NH,THE RIVERSIDE,04/06/2021,1,1,0,0
Metropolitan Area Regional Office - Long Island,NASSAU,000564,NH,THE GRAND REHABILITATION AND NURSING AT SOUTH POINT,04/06/2021,1,0,1,0
Metropolitan Area Regional Office - Long Island,NASSAU,004066,NH,NORTH SHORE-LIJ ORZAC CENTER FOR REHABILITATION,04/06/2021,2,0,2,0
Western Regional Office - Rochester,MONROE,000446,NH,BRIGHTON MANOR,04/06/2021,1,0,1,0
Western Regional Office - Buffalo,ERIE,004898,NH,FATHER BAKER MANOR,04/06/2021,1,1,0,0
Western Regional Office - Buffalo,ERIE,002956,NH,"AUTUMN VIEW HEALTH CARE FACILITY, LLC",04/06/2021,1,1,0,0
Metropolitan Area Regional Office - New York City,KINGS,001374,NH,NORWEGIAN CHRISTIAN HOME AND HEALTH CENTER,04/06/2021,1,0,1,0
Metropolitan Area Regional Office - New York City,KINGS,001405,NH,THE PHOENIX REHABILITATION AND NURSING CENTER,04/06/2021,1,1,0,0
Metropolitan Area Regional Office - New York City,KINGS,001401,NH,SEA CREST NURSING AND REHABILITATION CENTER,04/06/2021,4,4,1,0
Metropolitan Area Regional Office - New York City,BRONX,001212,NH,HEBREW HOME FOR THE AGED AT RIVERDALE,04/06/2021,1,1,0,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,006871,NH,THE HAMPTONS CENTER FOR REHABILITATION AND NURSING,04/06/2021,1,1,0,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,001126,NH,ANDRUS ON HUDSON,04/06/2021,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,003765,NH,SALEM HILLS REHABILITATION AND NURSING CENTER,04/06/2021,2,0,2,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,001106,NH,SANS SOUCI REHABILITATION AND NURSING CENTER,04/06/2021,1,1,0,0
Capital District Regional Office,SCHENECTADY,000839,NH,SCHENECTADY CENTER FOR REHABILITATION AND NURSING,04/06/2021,1,1,0,0
